Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,HeartRate
WATCH,1644547215984,1644547215622,4,1644547215479,-0.011,-0.253,0.067,0.003,0.003,0.029,81
WATCH,1644547215984,1644547215622,4,1644547215489,-0.015,-0.281,0.070,0.009,0.003,0.025,81
WATCH,1644547215984,1644547215622,4,1644547215499,-0.009,-0.311,0.071,0.012,-0.000,0.013,81
WATCH,1644547215984,1644547215622,4,1644547215508,-0.016,-0.328,0.066,0.005,0.002,0.014,81
WATCH,1644547215985,1644547215623,4,1644547215518,-0.009,-0.337,0.065,-0.000,0.001,0.016,81
WATCH,1644547215985,1644547215623,4,1644547215528,-0.023,-0.347,0.073,-0.002,-0.002,0.009,81
WATCH,1644547215985,1644547215623,4,1644547215538,-0.017,-0.361,0.073,0.001,0.004,0.004,81
WATCH,1644547215985,1644547215623,4,1644547215548,-0.011,-0.362,0.086,-0.000,0.008,-0.007,81
WATCH,1644547215985,1644547215623,4,1644547215558,-0.007,-0.366,0.088,-0.002,0.003,-0.007,81
WATCH,1644547216042,1644547215680,4,1644547215568,-0.000,-0.366,0.089,0.000,-0.006,-0.010,81
WATCH,1644547216042,1644547215680,4,1644547215578,-0.015,-0.355,0.084,-0.000,-0.007,-0.005,81
WATCH,1644547216042,1644547215680,4,1644547215588,-0.037,-0.336,0.080,-0.005,-0.004,0.000,81
WATCH,1644547216042,1644547215680,4,1644547215598,-0.030,-0.321,0.082,-0.003,-0.001,-0.005,81
WATCH,1644547216042,1644547215680,4,1644547215608,-0.025,-0.305,0.080,0.001,0.003,-0.017,81
WATCH,1644547216106,1644547215744,4,1644547215618,-0.009,-0.298,0.083,0.002,-0.001,-0.034,81
WATCH,1644547216106,1644547215744,4,1644547215628,-0.017,-0.275,0.072,-0.000,-0.014,-0.031,81
WATCH,1644547216106,1644547215744,4,1644547215637,-0.029,-0.245,0.055,-0.002,-0.017,-0.021,81
WATCH,1644547216106,1644547215744,4,1644547215647,-0.026,-0.205,0.049,-0.000,-0.007,-0.024,81
WATCH,1644547216106,1644547215744,4,1644547215657,-0.026,-0.175,0.046,-0.001,0.003,-0.024,81
WATCH,1644547216168,1644547215806,4,1644547215667,-0.016,-0.142,0.043,-0.005,0.004,-0.024,81
WATCH,1644547216168,1644547215806,4,1644547215677,-0.013,-0.111,0.035,-0.004,-0.001,-0.029,81
WATCH,1644547216168,1644547215806,4,1644547215687,-0.004,-0.081,0.030,-0.006,-0.007,-0.026,81
WATCH,1644547216168,1644547215806,4,1644547215697,-0.012,-0.051,0.012,-0.005,-0.007,-0.028,81
WATCH,1644547216168,1644547215806,4,1644547215707,-0.006,-0.011,0.003,-0.012,-0.008,-0.021,81
WATCH,1644547216223,1644547215861,4,1644547215717,-0.008,0.021,-0.009,-0.012,-0.010,-0.023,81
WATCH,1644547216223,1644547215861,4,1644547215727,-0.001,0.064,-0.010,-0.010,-0.009,-0.029,81
WATCH,1644547216223,1644547215861,4,1644547215737,0.027,0.097,-0.020,-0.006,-0.008,-0.043,81
WATCH,1644547216223,1644547215861,4,1644547215747,0.050,0.137,-0.027,-0.008,-0.003,-0.043,81
WATCH,1644547216223,1644547215861,4,1644547215757,0.076,0.172,-0.031,-0.010,-0.003,-0.040,81
WATCH,1644547216286,1644547215924,4,1644547215767,0.054,0.212,-0.042,-0.011,-0.006,-0.028,81
WATCH,1644547216286,1644547215924,4,1644547215776,0.038,0.240,-0.045,-0.004,-0.000,-0.023,81
WATCH,1644547216286,1644547215924,4,1644547215786,0.027,0.275,-0.053,0.001,0.001,-0.021,81
WATCH,1644547216287,1644547215925,4,1644547215796,0.034,0.308,-0.060,-0.007,-0.000,-0.015,81
WATCH,1644547216287,1644547215925,4,1644547215806,0.027,0.334,-0.065,-0.008,-0.001,-0.013,81
WATCH,1644547216287,1644547215925,4,1644547215816,0.026,0.354,-0.074,-0.006,-0.003,-0.009,81
WATCH,1644547216287,1644547215925,4,1644547215826,0.024,0.359,-0.084,-0.003,-0.005,-0.011,81
WATCH,1644547216287,1644547215925,4,1644547215836,0.029,0.369,-0.092,-0.007,-0.011,-0.003,81
WATCH,1644547216287,1644547215925,4,1644547215846,0.032,0.371,-0.097,-0.012,-0.015,0.000,81
WATCH,1644547216287,1644547215925,4,1644547215856,0.017,0.374,-0.110,-0.011,-0.011,0.014,81
WATCH,1644547216340,1644547215978,4,1644547215866,0.015,0.378,-0.122,-0.009,-0.004,0.019,81
WATCH,1644547216340,1644547215978,4,1644547215876,0.021,0.370,-0.120,-0.001,-0.000,0.009,81
WATCH,1644547216340,1644547215978,4,1644547215886,0.032,0.353,-0.124,0.002,-0.002,0.005,81
WATCH,1644547216340,1644547215978,4,1644547215896,0.042,0.343,-0.117,-0.005,-0.002,0.009,81
WATCH,1644547216340,1644547215978,4,1644547215905,0.044,0.322,-0.116,-0.004,0.004,0.019,81
WATCH,1644547216404,1644547216042,4,1644547215915,0.028,0.303,-0.107,-0.003,0.010,0.026,81
WATCH,1644547216405,1644547216043,4,1644547215925,0.015,0.278,-0.098,0.006,0.015,0.031,81
WATCH,1644547216405,1644547216043,4,1644547215935,-0.008,0.253,-0.088,0.012,0.019,0.040,81
WATCH,1644547216405,1644547216043,4,1644547215945,-0.014,0.222,-0.068,0.014,0.020,0.043,81
WATCH,1644547216405,1644547216043,4,1644547215955,-0.044,0.185,-0.053,0.021,0.018,0.038,81
WATCH,1644547216464,1644547216102,4,1644547215965,-0.074,0.145,-0.041,0.022,0.016,0.035,81
WATCH,1644547216464,1644547216102,4,1644547215975,-0.109,0.102,-0.026,0.027,0.016,0.037,81
WATCH,1644547216464,1644547216102,4,1644547215985,-0.132,0.077,-0.009,0.022,0.019,0.037,81
WATCH,1644547216464,1644547216102,4,1644547215995,-0.138,0.037,0.006,0.027,0.016,0.029,81
WATCH,1644547216464,1644547216102,4,1644547216005,-0.136,-0.003,0.014,0.029,0.017,0.017,81
WATCH,1644547216553,1644547216191,4,1644547216015,-0.150,-0.030,0.019,0.017,0.025,0.017,81
WATCH,1644547216554,1644547216192,4,1644547216025,-0.133,-0.051,0.032,0.007,0.017,0.017,81
WATCH,1644547216554,1644547216192,4,1644547216034,-0.125,-0.078,0.046,0.009,0.003,0.018,81
WATCH,1644547216554,1644547216192,4,1644547216044,-0.138,-0.110,0.043,0.009,-0.002,0.018,81
WATCH,1644547216554,1644547216192,4,1644547216054,-0.141,-0.129,0.041,0.001,-0.006,0.022,81
WATCH,1644547216555,1644547216193,4,1644547216064,-0.146,-0.136,0.043,-0.012,-0.008,0.025,81
WATCH,1644547216555,1644547216193,4,1644547216075,-0.136,-0.142,0.045,-0.017,-0.009,0.022,81
WATCH,1644547216555,1644547216193,4,1644547216084,-0.121,-0.161,0.048,-0.011,-0.010,0.010,81
WATCH,1644547216555,1644547216193,4,1644547216094,-0.099,-0.160,0.052,-0.012,-0.011,-0.001,81
WATCH,1644547216555,1644547216193,4,1644547216104,-0.091,-0.163,0.048,-0.008,-0.003,-0.003,81
WATCH,1644547216643,1644547216281,4,1644547216114,-0.100,-0.160,0.052,-0.003,0.003,-0.003,81
WATCH,1644547216643,1644547216281,4,1644547216124,-0.097,-0.154,0.052,0.001,0.002,0.000,81
WATCH,1644547216643,1644547216281,4,1644547216134,-0.092,-0.145,0.049,-0.005,-0.004,-0.006,81
WATCH,1644547216644,1644547216282,4,1644547216144,-0.087,-0.132,0.049,-0.005,-0.009,-0.012,81
WATCH,1644547216644,1644547216282,4,1644547216154,-0.081,-0.125,0.039,0.001,-0.006,-0.015,81
WATCH,1644547216707,1644547216345,4,1644547216163,-0.082,-0.107,0.042,0.003,0.002,-0.018,81
WATCH,1644547216707,1644547216345,4,1644547216173,-0.073,-0.098,0.032,-0.002,-0.000,-0.013,81
WATCH,1644547216707,1644547216345,4,1644547216183,-0.074,-0.085,0.024,-0.009,-0.004,-0.008,81
WATCH,1644547216708,1644547216346,4,1644547216193,-0.070,-0.078,0.017,-0.006,-0.018,-0.007,81
WATCH,1644547216708,1644547216346,4,1644547216203,-0.073,-0.064,0.001,-0.009,-0.026,-0.007,81
WATCH,1644547216708,1644547216346,4,1644547216213,-0.051,-0.054,-0.009,-0.019,-0.022,-0.007,81
WATCH,1644547216708,1644547216346,4,1644547216223,-0.044,-0.030,-0.020,-0.021,-0.020,-0.006,81
WATCH,1644547216708,1644547216346,4,1644547216233,-0.023,-0.019,-0.028,-0.021,-0.015,-0.008,81
WATCH,1644547216708,1644547216346,4,1644547216243,-0.015,-0.005,-0.032,-0.013,-0.007,-0.009,81
WATCH,1644547216709,1644547216347,4,1644547216253,-0.014,0.003,-0.034,-0.003,0.003,-0.006,81
WATCH,1644547216760,1644547216398,4,1644547216263,-0.010,0.013,-0.038,-0.000,0.002,-0.005,81
WATCH,1644547216760,1644547216398,4,1644547216273,-0.015,0.024,-0.038,-0.000,0.004,-0.005,81
WATCH,1644547216760,1644547216398,4,1644547216283,-0.013,0.033,-0.032,0.002,0.003,-0.006,81
WATCH,1644547216760,1644547216398,4,1644547216292,-0.020,0.044,-0.035,0.002,-0.001,-0.004,81
WATCH,1644547216760,1644547216398,4,1644547216302,-0.025,0.054,-0.040,-0.001,-0.001,-0.004,81
WATCH,1644547216827,1644547216465,4,1644547216312,-0.027,0.061,-0.035,-0.001,0.001,-0.007,81
WATCH,1644547216827,1644547216465,4,1644547216322,-0.018,0.071,-0.029,-0.000,0.005,-0.007,81
WATCH,1644547216828,1644547216466,4,1644547216332,-0.018,0.074,-0.028,-0.000,0.005,-0.004,81
WATCH,1644547216828,1644547216466,4,1644547216342,-0.022,0.078,-0.029,-0.003,-0.001,-0.001,81
WATCH,1644547216828,1644547216466,4,1644547216352,-0.020,0.083,-0.030,-0.010,-0.006,0.004,81
WATCH,1644547216828,1644547216466,4,1644547216362,-0.020,0.083,-0.025,-0.007,-0.008,0.003,81
WATCH,1644547216828,1644547216466,4,1644547216372,-0.028,0.084,-0.032,-0.001,-0.006,0.006,81
WATCH,1644547216828,1644547216466,4,1644547216382,-0.025,0.083,-0.032,-0.001,-0.007,0.001,81
WATCH,1644547216828,1644547216466,4,1644547216392,-0.018,0.085,-0.033,-0.005,-0.004,-0.004,81
WATCH,1644547216828,1644547216466,4,1644547216402,-0.014,0.086,-0.034,-0.008,0.002,0.002,81
WATCH,1644547216880,1644547216518,4,1644547216412,-0.009,0.081,-0.032,-0.002,-0.000,0.003,81
WATCH,1644547216880,1644547216518,4,1644547216422,-0.013,0.076,-0.035,0.002,0.004,0.003,81
WATCH,1644547216880,1644547216518,4,1644547216431,-0.013,0.069,-0.031,0.003,0.008,0.009,81
WATCH,1644547216880,1644547216518,4,1644547216441,-0.015,0.062,-0.029,0.005,0.005,0.008,81
WATCH,1644547216880,1644547216518,4,1644547216451,-0.022,0.049,-0.027,0.006,0.003,0.009,81
WATCH,1644547216941,1644547216579,4,1644547216461,-0.042,0.029,-0.025,0.004,0.003,0.013,81
WATCH,1644547216942,1644547216580,4,1644547216471,-0.049,0.020,-0.028,-0.002,-0.008,0.026,81
WATCH,1644547216942,1644547216580,4,1644547216481,-0.061,0.013,-0.034,-0.006,-0.023,0.028,81
WATCH,1644547216942,1644547216580,4,1644547216491,-0.073,-0.004,-0.035,-0.006,-0.016,0.018,81
WATCH,1644547216942,1644547216580,4,1644547216501,-0.055,-0.005,-0.028,-0.010,-0.002,0.009,81
WATCH,1644547217007,1644547216645,4,1644547216511,-0.024,-0.008,-0.019,-0.010,0.004,-0.002,81
WATCH,1644547217007,1644547216645,4,1644547216521,-0.016,-0.024,-0.020,0.000,0.009,-0.003,81
WATCH,1644547217007,1644547216645,4,1644547216531,-0.015,-0.032,-0.015,0.002,0.013,-0.000,81
WATCH,1644547217007,1644547216645,4,1644547216541,-0.002,-0.030,-0.001,0.009,0.009,-0.002,81
WATCH,1644547217007,1644547216645,4,1644547216551,-0.009,-0.037,0.004,0.018,0.015,-0.005,81
WATCH,1644547217063,1644547216701,4,1644547216560,-0.003,-0.046,0.017,0.018,0.017,-0.010,81
WATCH,1644547217064,1644547216702,4,1644547216570,-0.005,-0.051,0.024,0.017,0.019,-0.007,81
WATCH,1644547217064,1644547216702,4,1644547216580,-0.012,-0.053,0.032,0.014,0.011,-0.001,81
WATCH,1644547217064,1644547216702,4,1644547216590,-0.021,-0.058,0.035,0.008,0.007,0.001,81
WATCH,1644547217065,1644547216703,4,1644547216600,-0.025,-0.061,0.039,0.004,0.008,0.003,81
WATCH,1644547217123,1644547216761,4,1644547216610,-0.021,-0.062,0.042,0.004,0.006,0.007,81
WATCH,1644547217123,1644547216761,4,1644547216620,-0.015,-0.059,0.044,-0.000,0.002,0.001,81
WATCH,1644547217124,1644547216762,4,1644547216630,-0.010,-0.065,0.049,0.001,-0.001,-0.004,81
WATCH,1644547217124,1644547216762,4,1644547216640,-0.012,-0.063,0.055,0.000,0.002,-0.003,81
WATCH,1644547217125,1644547216763,4,1644547216650,-0.014,-0.058,0.051,0.001,0.006,-0.000,81
WATCH,1644547217125,1644547216763,4,1644547216660,-0.013,-0.056,0.055,0.003,0.007,-0.005,81
WATCH,1644547217126,1644547216764,4,1644547216670,-0.016,-0.053,0.054,0.001,0.005,-0.007,81
WATCH,1644547217126,1644547216764,4,1644547216680,-0.009,-0.044,0.052,-0.001,0.002,-0.002,81
WATCH,1644547217126,1644547216764,4,1644547216689,-0.003,-0.039,0.051,-0.001,-0.001,-0.003,81
WATCH,1644547217126,1644547216764,4,1644547216699,-0.003,-0.033,0.050,-0.001,-0.005,-0.008,81
WATCH,1644547217179,1644547216817,4,1644547216709,0.004,-0.026,0.048,-0.001,-0.004,-0.002,81
WATCH,1644547217180,1644547216818,4,1644547216720,0.009,-0.020,0.040,-0.004,-0.004,-0.002,81
WATCH,1644547217180,1644547216818,4,1644547216729,0.014,-0.014,0.039,-0.007,-0.003,-0.007,81
WATCH,1644547217180,1644547216818,4,1644547216739,0.018,-0.005,0.036,-0.004,0.001,-0.007,81
WATCH,1644547217180,1644547216818,4,1644547216749,0.020,-0.003,0.034,0.000,-0.000,-0.008,81
WATCH,1644547217243,1644547216881,4,1644547216759,0.024,0.001,0.030,0.001,-0.003,-0.006,81
WATCH,1644547217243,1644547216881,4,1644547216769,0.015,0.005,0.030,-0.001,-0.003,-0.005,81
WATCH,1644547217243,1644547216881,4,1644547216779,0.017,0.010,0.028,0.001,-0.003,-0.003,81
WATCH,1644547217243,1644547216881,4,1644547216789,0.014,0.014,0.024,-0.001,-0.008,-0.005,81
WATCH,1644547217243,1644547216881,4,1644547216798,0.011,0.022,0.014,-0.005,-0.006,0.004,81
WATCH,1644547217304,1644547216942,4,1644547216808,0.011,0.025,0.012,-0.004,0.002,0.003,81
WATCH,1644547217304,1644547216942,4,1644547216818,0.012,0.026,0.011,-0.001,0.006,0.002,81
WATCH,1644547217305,1644547216943,4,1644547216828,0.017,0.025,0.015,0.003,0.001,-0.004,81
WATCH,1644547217305,1644547216943,4,1644547216838,0.018,0.029,0.015,0.002,-0.001,-0.005,81
WATCH,1644547217305,1644547216943,4,1644547216848,0.015,0.030,0.011,0.001,-0.002,-0.002,81
WATCH,1644547217365,1644547217003,4,1644547216858,0.011,0.032,0.010,-0.001,0.004,0.000,81
WATCH,1644547217365,1644547217003,4,1644547216868,0.013,0.040,0.011,-0.000,0.000,-0.000,81
WATCH,1644547217365,1644547217003,4,1644547216878,0.011,0.036,0.001,0.000,-0.001,0.002,81
WATCH,1644547217365,1644547217003,4,1644547216888,0.017,0.041,0.005,-0.005,-0.002,0.004,81
WATCH,1644547217365,1644547217003,4,1644547216898,0.015,0.038,-0.003,-0.004,-0.006,0.003,81
WATCH,1644547217424,1644547217062,4,1644547216908,0.022,0.035,-0.007,-0.005,-0.010,0.004,81
WATCH,1644547217424,1644547217062,4,1644547216918,0.022,0.036,-0.013,-0.008,-0.015,0.004,81
WATCH,1644547217425,1644547217063,4,1644547216928,0.018,0.030,-0.017,-0.005,-0.009,0.007,81
WATCH,1644547217425,1644547217063,4,1644547216938,0.020,0.032,-0.017,-0.002,-0.007,0.007,81
WATCH,1644547217425,1644547217063,4,1644547216948,0.017,0.028,-0.022,-0.003,-0.010,0.006,81
WATCH,1644547217425,1644547217063,4,1644547216957,0.015,0.029,-0.027,-0.003,-0.006,0.002,81
WATCH,1644547217425,1644547217063,4,1644547216967,0.021,0.026,-0.026,-0.001,0.003,0.002,81
WATCH,1644547217425,1644547217063,4,1644547216977,0.022,0.026,-0.025,0.001,0.006,-0.000,81
WATCH,1644547217425,1644547217063,4,1644547216987,0.029,0.023,-0.023,0.001,0.005,0.000,81
WATCH,1644547217425,1644547217063,4,1644547216997,0.027,0.022,-0.021,0.002,-0.000,-0.001,81
WATCH,1644547217481,1644547217119,4,1644547217007,0.024,0.017,-0.023,0.001,-0.000,0.003,81
WATCH,1644547217481,1644547217119,4,1644547217017,0.020,0.014,-0.022,0.003,0.000,0.007,81
WATCH,1644547217481,1644547217119,4,1644547217027,0.012,0.002,-0.020,0.004,-0.002,0.010,81
WATCH,1644547217481,1644547217119,4,1644547217037,0.002,0.000,-0.021,-0.000,-0.003,0.014,81
WATCH,1644547217481,1644547217119,4,1644547217047,-0.006,0.002,-0.015,-0.008,-0.002,0.014,81
WATCH,1644547217543,1644547217181,4,1644547217057,-0.006,-0.008,-0.014,0.001,0.002,0.006,81
WATCH,1644547217543,1644547217181,4,1644547217067,0.001,-0.011,-0.007,0.005,0.005,0.001,81
WATCH,1644547217543,1644547217181,4,1644547217077,-0.001,-0.010,-0.010,0.002,0.001,-0.001,81
WATCH,1644547217544,1644547217182,4,1644547217086,-0.005,-0.011,-0.006,0.000,0.004,-0.000,81
WATCH,1644547217544,1644547217182,4,1644547217096,-0.002,-0.012,-0.004,0.003,0.006,0.001,81
WATCH,1644547217605,1644547217243,4,1644547217106,-0.007,-0.018,-0.007,0.003,0.002,0.001,81
WATCH,1644547217605,1644547217243,4,1644547217116,-0.008,-0.021,-0.004,0.004,-0.003,0.007,81
WATCH,1644547217605,1644547217243,4,1644547217126,-0.017,-0.017,-0.008,-0.000,-0.003,0.005,81
WATCH,1644547217605,1644547217243,4,1644547217136,-0.020,-0.019,-0.008,-0.003,0.001,0.006,81
WATCH,1644547217605,1644547217243,4,1644547217146,-0.011,-0.018,-0.008,-0.001,-0.004,0.005,81
WATCH,1644547217692,1644547217330,4,1644547217156,-0.025,-0.015,-0.015,-0.007,-0.008,0.003,81
WATCH,1644547217692,1644547217330,4,1644547217166,-0.021,-0.010,-0.018,-0.008,-0.005,0.002,81
WATCH,1644547217693,1644547217331,4,1644547217176,-0.016,-0.006,-0.017,-0.004,-0.002,-0.003,81
WATCH,1644547217693,1644547217331,4,1644547217186,-0.005,-0.005,-0.021,-0.003,-0.005,0.002,81
WATCH,1644547217693,1644547217331,4,1644547217196,-0.009,-0.002,-0.032,-0.004,-0.011,-0.003,81
WATCH,1644547217694,1644547217332,4,1644547217206,-0.011,-0.001,-0.038,-0.005,-0.008,-0.002,81
WATCH,1644547217695,1644547217333,4,1644547217216,0.001,-0.001,-0.043,-0.001,0.001,-0.001,81
WATCH,1644547217695,1644547217333,4,1644547217225,-0.010,-0.005,-0.049,0.000,0.003,0.001,81
WATCH,1644547217695,1644547217333,4,1644547217235,-0.005,0.000,-0.048,-0.003,-0.001,0.006,81
WATCH,1644547217695,1644547217333,4,1644547217246,-0.003,-0.006,-0.045,0.002,-0.008,0.005,81
WATCH,1644547217754,1644547217392,4,1644547217255,-0.020,-0.011,-0.044,0.003,-0.006,0.004,81
WATCH,1644547217754,1644547217392,4,1644547217265,-0.021,-0.006,-0.035,-0.002,-0.005,0.002,81
WATCH,1644547217754,1644547217392,4,1644547217275,-0.014,-0.001,-0.030,-0.003,0.004,0.002,81
WATCH,1644547217754,1644547217392,4,1644547217285,-0.016,0.004,-0.024,-0.002,0.013,-0.001,81
WATCH,1644547217754,1644547217392,4,1644547217295,-0.013,0.003,-0.013,0.000,0.016,-0.007,81
WATCH,1644547217846,1644547217484,4,1644547217305,-0.020,0.012,-0.006,0.004,0.011,-0.005,81
WATCH,1644547217846,1644547217484,4,1644547217315,-0.020,0.020,-0.001,0.002,-0.001,-0.001,81
WATCH,1644547217846,1644547217484,4,1644547217325,-0.016,0.031,0.001,-0.000,-0.002,-0.000,81
WATCH,1644547217846,1644547217484,4,1644547217335,-0.023,0.033,0.001,0.001,0.003,-0.000,81
WATCH,1644547217846,1644547217484,4,1644547217344,-0.031,0.040,-0.002,-0.002,0.005,-0.002,81
WATCH,1644547217846,1644547217484,4,1644547217354,-0.021,0.048,-0.000,-0.004,0.004,-0.004,81
WATCH,1644547217847,1644547217485,4,1644547217364,-0.009,0.058,0.001,-0.002,0.003,-0.007,81
WATCH,1644547217847,1644547217485,4,1644547217374,0.007,0.062,-0.001,0.001,0.003,-0.009,81
WATCH,1644547217847,1644547217485,4,1644547217384,0.013,0.054,-0.004,0.006,0.004,-0.011,81
WATCH,1644547217847,1644547217485,4,1644547217394,0.024,0.062,-0.007,0.001,0.004,-0.007,81
WATCH,1644547217932,1644547217570,4,1644547217404,0.024,0.063,-0.008,-0.002,-0.003,-0.000,81
WATCH,1644547217932,1644547217570,4,1644547217414,0.014,0.059,-0.009,0.003,-0.004,0.007,81
WATCH,1644547217933,1644547217571,4,1644547217424,0.002,0.058,-0.016,-0.002,-0.001,0.013,81
WATCH,1644547217933,1644547217571,4,1644547217434,0.002,0.060,-0.011,-0.011,-0.004,0.011,81
WATCH,1644547217933,1644547217571,4,1644547217444,0.010,0.063,-0.011,-0.009,-0.013,0.007,81
WATCH,1644547217989,1644547217627,4,1644547217454,0.002,0.072,-0.012,-0.004,-0.008,0.004,81
WATCH,1644547217989,1644547217627,4,1644547217464,0.010,0.080,-0.011,-0.003,0.005,-0.001,81
WATCH,1644547217989,1644547217627,4,1644547217473,0.016,0.091,-0.004,0.001,0.009,-0.010,81
WATCH,1644547217989,1644547217627,4,1644547217483,0.025,0.101,-0.000,0.004,0.011,-0.013,81
WATCH,1644547217989,1644547217627,4,1644547217493,0.027,0.115,0.010,0.004,0.013,-0.016,81
WATCH,1644547217989,1644547217627,4,1644547217503,0.041,0.129,0.016,0.001,0.011,-0.016,81
WATCH,1644547217989,1644547217627,4,1644547217513,0.035,0.136,0.018,0.004,0.006,-0.011,81
WATCH,1644547217989,1644547217627,4,1644547217523,0.036,0.149,0.017,0.002,0.005,-0.006,81
WATCH,1644547217989,1644547217627,4,1644547217533,0.036,0.165,0.018,-0.003,0.000,-0.004,81
WATCH,1644547217989,1644547217627,4,1644547217543,0.034,0.176,0.014,-0.006,-0.002,-0.004,81
WATCH,1644547218050,1644547217688,4,1644547217553,0.039,0.188,0.011,-0.004,-0.005,-0.002,81
WATCH,1644547218050,1644547217688,4,1644547217563,0.049,0.207,0.009,-0.005,-0.006,-0.008,81
WATCH,1644547218050,1644547217688,4,1644547217573,0.046,0.219,-0.000,-0.004,0.000,-0.015,81
WATCH,1644547218050,1644547217688,4,1644547217583,0.060,0.227,0.001,-0.001,0.002,-0.020,81
WATCH,1644547218050,1644547217688,4,1644547217593,0.072,0.237,0.001,-0.001,-0.007,-0.018,81
WATCH,1644547218114,1644547217752,4,1644547217602,0.068,0.243,-0.011,-0.001,-0.005,-0.012,81
WATCH,1644547218114,1644547217752,4,1644547217612,0.063,0.246,-0.015,0.002,-0.002,-0.005,81
WATCH,1644547218114,1644547217752,4,1644547217622,0.071,0.248,-0.020,-0.001,-0.002,-0.000,81
WATCH,1644547218114,1644547217752,4,1644547217632,0.070,0.251,-0.018,-0.005,-0.009,0.003,81
WATCH,1644547218114,1644547217752,4,1644547217642,0.055,0.250,-0.018,-0.001,-0.007,0.005,81
WATCH,1644547218115,1644547217753,4,1644547217652,0.020,0.243,-0.014,-0.003,-0.001,0.016,81
WATCH,1644547218115,1644547217753,4,1644547217662,0.004,0.247,-0.004,-0.015,0.003,0.025,81
WATCH,1644547218116,1644547217754,4,1644547217672,-0.007,0.251,0.003,-0.017,0.001,0.025,81
WATCH,1644547218116,1644547217754,4,1644547217682,-0.005,0.259,0.005,-0.010,0.002,0.018,81
WATCH,1644547218116,1644547217754,4,1644547217692,-0.015,0.269,0.012,-0.000,0.006,0.002,81
WATCH,1644547218171,1644547217809,4,1644547217702,-0.016,0.282,0.021,0.005,0.009,-0.007,81
WATCH,1644547218172,1644547217810,4,1644547217712,-0.005,0.303,0.029,0.003,0.004,-0.015,81
WATCH,1644547218172,1644547217810,4,1644547217722,0.008,0.324,0.036,0.001,-0.005,-0.026,81
WATCH,1644547218172,1644547217810,4,1644547217731,0.011,0.352,0.047,-0.000,-0.001,-0.030,81
WATCH,1644547218172,1644547217810,4,1644547217741,0.004,0.363,0.042,0.005,0.012,-0.026,81
WATCH,1644547218232,1644547217870,4,1644547217751,0.017,0.379,0.034,0.007,0.010,-0.019,81
WATCH,1644547218233,1644547217871,4,1644547217761,0.025,0.389,0.023,0.002,-0.000,-0.011,81
WATCH,1644547218233,1644547217871,4,1644547217771,0.033,0.406,0.002,-0.006,-0.007,0.003,81
WATCH,1644547218233,1644547217871,4,1644547217781,0.044,0.407,-0.027,-0.012,-0.009,0.013,81
WATCH,1644547218233,1644547217871,4,1644547217791,0.051,0.405,-0.047,-0.005,-0.026,0.015,81
WATCH,1644547218294,1644547217932,4,1644547217801,0.047,0.386,-0.069,-0.008,-0.038,0.015,81
WATCH,1644547218295,1644547217933,4,1644547217811,0.057,0.374,-0.080,-0.014,-0.040,0.018,81
WATCH,1644547218295,1644547217933,4,1644547217821,0.048,0.361,-0.100,-0.018,-0.029,0.022,81
WATCH,1644547218295,1644547217933,4,1644547217831,0.062,0.347,-0.106,-0.016,-0.013,0.026,81
WATCH,1644547218295,1644547217933,4,1644547217841,0.056,0.320,-0.117,-0.006,0.004,0.022,81
WATCH,1644547218352,1644547217990,4,1644547217851,0.075,0.303,-0.118,-0.005,0.010,0.020,81
WATCH,1644547218352,1644547217990,4,1644547217861,0.086,0.284,-0.116,-0.004,0.011,0.017,81
WATCH,1644547218352,1644547217990,4,1644547217870,0.092,0.254,-0.117,0.005,0.011,0.023,81
WATCH,1644547218352,1644547217990,4,1644547217880,0.076,0.220,-0.108,0.012,0.001,0.012,81
WATCH,1644547218352,1644547217990,4,1644547217890,0.050,0.179,-0.104,0.009,-0.011,0.024,80
WATCH,1644547218414,1644547218052,4,1644547217900,0.027,0.154,-0.103,-0.003,-0.013,0.040,80
WATCH,1644547218415,1644547218053,4,1644547217910,-0.003,0.124,-0.101,-0.002,-0.005,0.046,80
WATCH,1644547218415,1644547218053,4,1644547217920,-0.028,0.089,-0.094,0.014,0.007,0.044,80
WATCH,1644547218415,1644547218053,4,1644547217930,-0.038,0.054,-0.071,0.018,0.011,0.035,80
WATCH,1644547218416,1644547218054,4,1644547217940,-0.039,0.024,-0.065,0.017,0.014,0.024,80
WATCH,1644547218417,1644547218055,4,1644547217950,-0.048,0.005,-0.046,0.013,0.017,0.020,80
WATCH,1644547218417,1644547218055,4,1644547217960,-0.050,-0.026,-0.040,0.015,0.022,0.008,80
WATCH,1644547218417,1644547218055,4,1644547217970,-0.036,-0.045,-0.025,0.012,0.014,-0.001,80
WATCH,1644547218417,1644547218055,4,1644547217980,-0.027,-0.066,-0.025,0.009,0.006,-0.001,80
WATCH,1644547218417,1644547218055,4,1644547217990,-0.033,-0.091,-0.029,0.012,0.007,0.002,80
WATCH,1644547218475,1644547218113,4,1644547217999,-0.017,-0.118,-0.018,0.020,0.001,0.007,80
WATCH,1644547218475,1644547218113,4,1644547218009,-0.018,-0.153,-0.026,0.019,-0.002,0.013,80
WATCH,1644547218475,1644547218113,4,1644547218019,-0.020,-0.184,-0.026,0.009,0.005,0.022,80
